index,id,coast_id,coast_lat,coast_lon,coast_x,coast_y,domain,elev,lat,lon,upstream,x,y
240,71966,134006,64.920,-40.855,199450,-2752050,ice,-1,64.920,-40.855,False,199450,-2752050
241,71974,134065,64.904,-40.677,208150,-2753250,ice,-1,64.904,-40.677,False,208150,-2753250
242,71980,134006,64.920,-40.855,199450,-2752050,ice,-1,64.905,-40.862,False,199250,-2753850
243,71985,134116,64.908,-41.094,188050,-2754250,ice,-1,64.908,-41.094,False,188050,-2754250
244,71992,134136,64.904,-41.091,188250,-2754750,ice,122,64.902,-41.099,False,187850,-2754950
245,72001,134175,64.883,-40.616,211250,-2755450,ice,-1,64.883,-40.616,False,211250,-2755450
246,72004,134181,64.882,-40.624,210850,-2755550,ice,14,64.882,-40.624,False,210850,-2755550
247,72005,134187,64.888,-40.842,200350,-2755650,ice,-8,64.888,-40.842,False,200350,-2755650
248,72014,134235,64.871,-40.583,212950,-2756650,ice,-1,64.871,-40.583,False,212950,-2756650
249,72019,134217,64.891,-41.074,189150,-2756150,ice,15,64.881,-41.078,False,189050,-2757250
250,72023,134217,64.891,-41.074,189150,-2756150,ice,17,64.877,-41.070,False,189450,-2757750
251,72024,134303,64.866,-40.837,200750,-2758150,ice,-21,64.869,-40.806,False,202250,-2757750
252,72038,134254,64.880,-41.032,191250,-2757250,ice,32,64.871,-41.044,False,190750,-2758250
253,72042,134254,64.880,-41.032,191250,-2757250,ice,31,64.870,-41.042,False,190850,-2758450
254,72049,134329,64.852,-40.576,213450,-2758750,ice,5,64.852,-40.576,False,213450,-2758750
255,72054,134360,64.858,-40.899,197850,-2759250,ice,0,64.860,-40.886,False,198450,-2759050
256,72060,134361,64.847,-40.558,214350,-2759250,ice,-1,64.847,-40.558,False,214350,-2759350
257,72066,134360,64.858,-40.899,197850,-2759250,ice,3,64.854,-40.883,False,198650,-2759650
258,72071,134400,64.854,-40.914,197150,-2759750,ice,-1,64.854,-40.914,False,197150,-2759750
259,72075,134303,64.866,-40.837,200750,-2758150,ice,-9,64.850,-40.819,False,201750,-2759850
260,72076,134413,64.842,-40.555,214550,-2759850,ice,18,64.842,-40.555,False,214550,-2759850
261,72085,134303,64.866,-40.837,200750,-2758150,ice,-6,64.846,-40.822,False,201650,-2760350
262,72086,134384,64.859,-41.004,192750,-2759550,ice,163,64.851,-41.024,False,191850,-2760450
263,72089,-1,,,-1,-1,ice,-1,64.848,-40.965,False,194750,-2760650
264,72100,134493,64.847,-40.969,194550,-2760750,ice,28,64.843,-40.965,False,194750,-2761150
265,72103,134303,64.866,-40.837,200750,-2758150,ice,-4,64.838,-40.819,False,201850,-2761250
266,72105,134549,64.827,-40.514,216650,-2761350,ice,-1,64.827,-40.514,False,216650,-2761350
267,72113,134580,64.820,-40.486,218050,-2762050,ice,-1,64.823,-40.500,False,217350,-2761750
268,72115,134606,64.831,-40.949,195650,-2762550,ice,0,64.837,-40.944,False,195850,-2761850
269,72125,134606,64.831,-40.949,195650,-2762550,ice,-1,64.832,-40.926,False,196750,-2762350
270,72133,134606,64.831,-40.949,195650,-2762550,ice,-1,64.830,-40.978,False,194250,-2762750
271,72139,134639,64.810,-40.511,216950,-2763250,ice,-1,64.810,-40.511,False,216950,-2763250
272,72143,134606,64.831,-40.949,195650,-2762550,ice,-1,64.825,-40.987,False,193850,-2763350
273,72145,134303,64.866,-40.837,200750,-2758150,ice,-3,64.817,-40.802,False,202850,-2763550
274,72147,134606,64.831,-40.949,195650,-2762550,ice,13,64.820,-40.994,False,193550,-2763850
275,72149,134606,64.831,-40.949,195650,-2762550,ice,2,64.817,-40.953,False,195550,-2764050
276,72154,134606,64.831,-40.949,195650,-2762550,ice,0,64.817,-40.964,False,195050,-2764150
277,72160,134606,64.831,-40.949,195650,-2762550,ice,16,64.816,-40.989,False,193850,-2764350
278,72164,134705,64.801,-40.521,216550,-2764350,ice,63,64.800,-40.523,False,216450,-2764450
279,72173,134606,64.831,-40.949,195650,-2762550,ice,31,64.809,-40.973,False,194650,-2765050
280,72182,134360,64.858,-40.899,197850,-2759250,ice,-1,64.803,-40.891,False,198650,-2765450
281,72183,134303,64.866,-40.837,200750,-2758150,ice,3,64.800,-40.774,False,204350,-2765450
282,72193,134303,64.866,-40.837,200750,-2758150,ice,1,64.792,-40.769,False,204650,-2766250
283,72194,134360,64.858,-40.899,197850,-2759250,ice,-1,64.795,-40.874,False,199550,-2766350
284,72199,-1,,,-1,-1,ice,1,64.778,-40.502,False,217650,-2766950
285,72200,134360,64.858,-40.899,197850,-2759250,ice,9,64.789,-40.881,False,199250,-2767050
286,72201,134857,64.777,-40.509,217350,-2767050,ice,-1,64.777,-40.509,False,217350,-2767050
287,72203,134303,64.866,-40.837,200750,-2758150,ice,2,64.784,-40.758,False,205250,-2767150
288,72207,134958,64.771,-40.723,207050,-2768550,ice,1,64.778,-40.746,False,205850,-2767750
289,72208,134360,64.858,-40.899,197850,-2759250,ice,9,64.781,-40.870,False,199850,-2767850
290,72210,134929,64.769,-40.502,217750,-2767950,ice,-1,64.769,-40.502,False,217750,-2767950
291,72220,134971,64.769,-40.703,208050,-2768650,ice,9,64.770,-40.702,False,208050,-2768550
292,72221,134977,64.768,-40.692,208550,-2768750,ice,5,64.769,-40.690,False,208650,-2768650
293,72230,135036,64.758,-40.678,209350,-2769850,ice,7,64.759,-40.678,False,209350,-2769750
294,72233,135030,64.752,-40.482,218850,-2769750,ice,-1,64.751,-40.482,False,218850,-2769850
295,72247,135066,64.746,-40.461,219950,-2770350,ice,-1,64.746,-40.461,False,219950,-2770350
296,72248,134360,64.858,-40.899,197850,-2759250,ice,289,64.760,-40.925,False,197350,-2770450
297,72253,135114,64.750,-40.797,203650,-2771150,ice,-1,64.754,-40.805,False,203250,-2770750
298,72257,135114,64.750,-40.797,203650,-2771150,ice,-1,64.751,-40.803,False,203350,-2771050
299,72266,135114,64.750,-40.797,203650,-2771150,ice,20,64.747,-40.802,False,203450,-2771550
300,72271,135174,64.739,-40.782,204450,-2772350,ice,-1,64.741,-40.786,False,204250,-2772150
301,72285,135241,64.718,-40.420,222150,-2773350,ice,46,64.718,-40.420,False,222150,-2773350
302,72290,135247,64.728,-40.755,205850,-2773450,ice,25,64.727,-40.753,False,205950,-2773550
303,72292,135272,64.725,-40.739,206650,-2773750,ice,-1,64.725,-40.739,False,206650,-2773750
304,72301,135285,64.723,-40.735,206850,-2773950,ice,40,64.722,-40.736,False,206850,-2774050
305,72305,135296,64.716,-40.524,217150,-2774050,ice,-1,64.716,-40.524,False,217150,-2774050
306,72306,135297,64.715,-40.504,218150,-2774050,ice,-1,64.715,-40.504,False,218150,-2774050
307,72308,135286,64.723,-40.729,207150,-2773950,ice,40,64.721,-40.725,False,207350,-2774150
308,72320,135353,64.712,-40.578,214550,-2774650,ice,36,64.712,-40.574,False,214750,-2774650
309,72328,135456,64.706,-40.670,210150,-2775650,ice,62,64.707,-40.672,False,210050,-2775550
310,72332,135532,64.696,-40.575,214850,-2776450,ice,4,64.696,-40.575,False,214850,-2776450
311,72342,135605,64.690,-40.671,210250,-2777450,ice,-1,64.689,-40.675,False,210050,-2777650
312,72343,135606,64.685,-40.509,218150,-2777450,ice,131,64.684,-40.518,False,217750,-2777650
313,72348,135668,64.684,-40.678,209950,-2778150,ice,-1,64.684,-40.678,False,209950,-2778150
314,72363,135732,64.678,-40.648,211450,-2778750,ice,-1,64.678,-40.648,False,211450,-2778750
315,72367,135736,64.675,-40.562,215650,-2778750,ice,-1,64.675,-40.560,False,215750,-2778750
316,72369,135749,64.672,-40.499,218750,-2778850,ice,-1,64.672,-40.499,False,218750,-2778850
317,72376,135773,64.673,-40.606,213550,-2779150,ice,9,64.673,-40.608,False,213450,-2779150
